date,datetime,cash_type,card,money,coffee_name
15-04-2024 00:00,45397.82081,cash,,150,Espresso
08-04-2024 00:00,45390.5378,cash,,150,Espresso
10-04-2024 00:00,45392.43155,cash,,150,Espresso
13-03-2024 00:00,45364.52396,cash,,150,Espresso
26-10-2024 00:00,45591.43378,card,ANON-0000-0000-0816,25.96,Americano
13-12-2024 00:00,45639.51904,card,ANON-0000-0000-1004,25.96,Americano
13-12-2024 00:00,45639.53687,card,ANON-0000-0000-1003,25.96,Americano
14-12-2024 00:00,45640.55494,card,ANON-0000-0000-1008,25.96,Americano
14-12-2024 00:00,45640.68749,card,ANON-0000-0000-0040,25.96,Americano
14-12-2024 00:00,45640.68808,card,ANON-0000-0000-0040,25.96,Americano
14-12-2024 00:00,45640.70937,card,ANON-0000-0000-1003,25.96,Americano
12-12-2024 00:00,45638.70626,card,ANON-0000-0000-1003,25.96,Americano
17-12-2024 00:00,45643.36688,card,ANON-0000-0000-1012,25.96,Cortado
17-12-2024 00:00,45643.68235,card,ANON-0000-0000-1014,25.96,Americano
20-12-2024 00:00,45646.34366,card,ANON-0000-0000-0141,25.96,Cortado
14-12-2024 00:00,45640.70852,card,ANON-0000-0000-1003,25.96,Americano
12-12-2024 00:00,45638.5343,card,ANON-0000-0000-1002,25.96,Americano
23-10-2024 00:00,45588.434,card,ANON-0000-0000-0141,25.96,Cortado
10-12-2024 00:00,45636.51794,card,ANON-0000-0000-0141,25.96,Cortado
20-12-2024 00:00,45646.4552,card,ANON-0000-0000-0141,25.96,Cortado
24-10-2024 00:00,45589.5054,card,ANON-0000-0000-0808,25.96,Americano
01-10-2024 00:00,45566.59554,card,ANON-0000-0000-0699,25.96,Americano
09-10-2024 00:00,45574.72765,card,ANON-0000-0000-0658,25.96,Americano
11-10-2024 00:00,45576.3419,card,ANON-0000-0000-0141,25.96,Cortado
10-10-2024 00:00,45575.76288,card,ANON-0000-0000-0742,25.96,Americano
16-10-2024 00:00,45581.49288,card,ANON-0000-0000-0768,25.96,Americano
10-10-2024 00:00,45575.44688,card,ANON-0000-0000-0141,25.96,Cortado
10-10-2024 00:00,45575.44633,card,ANON-0000-0000-0141,25.96,Cortado
10-10-2024 00:00,45575.36675,card,ANON-0000-0000-0003,25.96,Americano
09-10-2024 00:00,45574.47086,card,ANON-0000-0000-0734,25.96,Americano
11-12-2024 00:00,45637.44847,card,ANON-0000-0000-0141,25.96,Cortado
20-12-2024 00:00,45646.62385,card,ANON-0000-0000-1023,25.96,Cortado
21-12-2024 00:00,45647.82622,card,ANON-0000-0000-1030,25.96,Cortado
21-12-2024 00:00,45647.75575,card,ANON-0000-0000-1029,25.96,Cortado
05-12-2024 00:00,45631.38922,card,ANON-0000-0000-0141,25.96,Cortado
05-12-2024 00:00,45631.3707,card,ANON-0000-0000-0983,25.96,Americano
04-12-2024 00:00,45630.37794,card,ANON-0000-0000-0979,25.96,Americano
04-12-2024 00:00,45630.35611,card,ANON-0000-0000-0141,25.96,Cortado
